chrom	hg19_start	hg19_end	name	disease_trait	disease_class	internally_replicated	independently_replicated	In_DHS	fetal_origin	-LOG(P)	sample_size
chr1	10799576	10799577	rs12046278	Systolic_blood_pressure	Cardiovascular	Y	N	Y	Y	5.30103	29136
chr1	11171225	11171226	rs17036350	Corneal_curvature	Quantitative_traits	Y	N	N	NA	12.3979	4289
chr1	11788563	11788564	rs4846033	Schizophrenia	Neurological_behavioral	N	N	Y	Y	5.39794	1471
chr1	11852515	11852516	rs17375901	Atrial_fibrillation	Cardiovascular	Y	N	Y	Y	6.22185	40518
chr1	11862777	11862778	rs17367504	Blood_pressure	Cardiovascular	Y	N	Y	Y	15.699	74064
chr1	11862777	11862778	rs17367504	Systolic_blood_pressure	Cardiovascular	Y	N	Y	Y	12.699	34433
chr1	11899032	11899033	rs1023252	Natriuretic_peptide	Serum_metabolites	Y	N	Y	Y	15.3979	1325
chr1	12046062	12046063	rs2336384	Platelet_count	Hematological_parameters	N	N	Y	Y	8	48666
chr1	15792425	15792426	rs2901964	Erectile_dysfunction_and_prostate_cancer_treatment	Miscellaneous	N	N	Y	Y	5.30103	79
chr1	16299311	16299312	rs10927875	Dilated_cardiomyopathy	Cardiovascular	Y	N	N	NA	9	2287
chr1	16393356	16393357	rs9442235	Cognitive_performance-PC1	Neurological_behavioral	N	N	Y	Y	5.22185	1295
chr1	16505319	16505320	rs1497406	Gamma_glutamyl_transferase	Serum_metabolites	N	Y	Y	Y	7.39794	12526
chr1	17216330	17216331	rs6586513	Allergic_rhinitis	Autoimmune_disease	N	N	Y	Y	5.39794	12898
chr1	17306674	17306675	rs2284746	FEV1/FVC	Kidney_lung_liver	Y	N	Y	Y	15.0969	48201
chr1	17306674	17306675	rs2284746	Height	Quantitative_traits	Y	N	Y	Y	28.3979	133653
chr1	17331675	17331676	rs3738814	Height	Quantitative_traits	N	N	Y	Y	6.69897	19633
chr1	17722362	17722363	rs7538876	Basal_cell_carcinoma	Cancer	Y	N	N	NA	11.3979	34047
chr1	17834741	17834742	rs2254135	Response_to_hepatitis_C_treatment	Viral_disease	N	N	Y	Y	5.52288	707
chr1	18294486	18294487	rs16861326	Erectile_dysfunction_and_prostate_cancer_treatment	Miscellaneous	N	N	Y	Y	5.69897	79
chr1	18795254	18795255	rs3007729	Diabetic_retinopathy	Diabetes	N	N	Y	Y	5.30103	2829
chr1	19139516	19139517	rs12063142	Parkinsons_disease	Aging	N	N	N	NA	6.30103	3497
chr1	19568971	19568972	rs710865	Brain_structure	Neurological_behavioral	N	N	Y	N	7	740
chr1	19765517	19765518	rs12045440	Goiter	Miscellaneous	Y	N	Y	Y	10.699	3620
chr1	19765517	19765518	rs12045440	Thyroid_volume	Miscellaneous	Y	N	Y	Y	13.5229	3620
chr1	19839114	19839115	rs12138950	Thyroid_volume	Miscellaneous	Y	N	Y	Y	17.5229	3620
chr1	19843353	19843354	rs10917468	Goiter	Miscellaneous	Y	N	Y	N	14	3620
chr1	20140035	20140036	rs1317209	Ulcerative_colitis	Autoimmune_disease	Y	N	Y	Y	9.69897	9484
chr1	20142865	20142866	rs3806308	Ulcerative_colitis	Autoimmune_disease	Y	N	Y	Y	8.1549	3525
chr1	20171859	20171860	rs6426833	Ulcerative_colitis	Autoimmune_disease	Y	Y	Y	Y	20.699	9484
chr1	20227722	20227723	rs4654925	Ulcerative_colitis	Autoimmune_disease	Y	N	N	NA	21.0458	2746
chr1	21766452	21766453	rs1976403	Alkaline_phosphatase	Serum_metabolites	N	N	Y	Y	49.699	61089
chr1	21786067	21786068	rs4654748	Vitamin_B6	Serum_metabolites	Y	N	N	NA	17.0969	2934
chr1	21821756	21821757	rs1780324	Alkaline_phosphatase	Serum_metabolites	Y	N	Y	Y	14.1549	7751
chr1	21823291	21823292	rs1697421	Serum_phosphorus	Serum_metabolites	Y	N	N	NA	27	16264
chr1	22485870	22485871	rs16826658	Endometriosis	Miscellaneous	Y	N	N	NA	5.69897	2741
chr1	22490723	22490724	rs7521902	Ovarian_cancer	Cancer	Y	N	Y	Y	5.30103	4122
chr1	22698446	22698447	rs7524102	Bone_mineral_density-femoral_neck	Radiographic_parameters	Y	N	Y	Y	6	1955
chr1	22698446	22698447	rs7524102	Bone_mineral_density-hip	Radiographic_parameters	Y	Y	Y	Y	16	6865
chr1	22698446	22698447	rs7524102	Bone_mineral_density-spine	Radiographic_parameters	Y	Y	Y	Y	15.301	5861
chr1	22698446	22698447	rs7524102	Ulcerative_colitis	Autoimmune_disease	Y	Y	Y	Y	6.52288	7778
chr1	22702857	22702858	rs6696981	Bone_mineral_density-spine	Radiographic_parameters	Y	N	Y	Y	7.69897	6865
chr1	22711472	22711473	rs6426749	Bone_mineral_density-hip	Radiographic_parameters	N	N	N	NA	7.04576	19195
chr1	24519919	24519920	rs4649203	Psoriasis	Autoimmune_disease	Y	N	Y	Y	7.1549	7353
chr1	25297183	25297184	rs11249215	Ankylosing_spondylitis	Autoimmune_disease	Y	N	Y	Y	10.0458	11802
chr1	25303575	25303576	rs10903122	Celiac_disease	Autoimmune_disease	Y	N	Y	Y	9.69897	15283
chr1	25674784	25674785	rs3091242	Erythrocyte_sedimentation_rate	Hematological_parameters	Y	N	N	NA	12.699	1979
chr1	25768936	25768937	rs10903129	Cholesterol	Serum_metabolites	N	N	Y	Y	9.30103	22562
chr1	25768936	25768937	rs10903129	Erythrocyte_sedimentation_rate	Hematological_parameters	Y	N	Y	Y	12.301	1979
chr1	26521139	26521140	rs11809207	Height	Quantitative_traits	Y	N	N	NA	7.22185	12611
chr1	30431559	30431560	rs1009080	Schizophrenia	Neurological_behavioral	Y	N	N	NA	5.52288	21856
chr1	30432218	30432219	rs4949526	Biplolar_disorder_and_schizophrenia	Neurological_behavioral	N	N	Y	Y	6.39794	4234
chr1	30567595	30567596	rs910696	Smoking_behavior	Neurological_behavioral	N	N	N	NA	5.52288	4611
chr1	30627711	30627712	rs2180233	ADHD	Neurological_behavioral	N	N	N	NA	5.04576	2814
chr1	34248063	34248064	rs476463	Brain_structure	Quantitative_traits	N	N	N	NA	6	740
chr1	34359857	34359858	rs2281597	ADHD	Neurological_behavioral	N	N	N	NA	6.30103	647
chr1	35687814	35687815	rs673604	Endometrial_cancer	Cancer	Y	N	Y	Y	5.22185	6453
chr1	36904719	36904720	rs6702784	Diabetic_retinopathy	Diabetes	N	N	Y	Y	5.39794	2829
chr1	37958812	37958813	rs9253	Red_blood_cell_count	Hematological_parameters	N	N	Y	N	5.39794	1000
chr1	38247152	38247153	rs12117544	Colorword	Neurological_behavioral	N	N	N	NA	5.09691	1086
chr1	38624128	38624129	rs12131057	Rheumatoid_arthritis	Autoimmune_disease	Y	N	N	NA	6.39794	25708
chr1	40064960	40064961	rs12037222	C-reactive_protein	Serum_metabolites	Y	N	Y	N	10.2218	66185
chr1	40132794	40132795	rs873917	Amyotrophic_lateral_sclerosis-susceptibilty	Aging	Y	N	Y	N	5.09691	4079
chr1	41239510	41239511	rs4660456	Platelet_count	Hematological_parameters	N	N	Y	Y	5.39794	115
chr1	41530870	41530871	rs6686842	Height	Quantitative_traits	Y	N	N	NA	7.69897	13665
chr1	41839821	41839822	rs4660531	Bipolar_disorder	Neurological_behavioral	Y	N	N	NA	5.52288	16731
chr1	43596383	43596384	rs16830359	Cardiac_hypertrophy	Cardiovascular	N	N	N	NA	7	851
chr1	43645410	43645411	rs621559	Telomere_length	Miscellaneous	Y	N	N	NA	5.69897	459
chr1	44215827	44215828	rs2367725	Aging_traits-age_free_from_disease	Aging	N	N	Y	Y	5.04576	16995
chr1	47179309	47179310	rs10789491	Response_to_hepatitis_C_treatment	Viral_disease	N	N	N	NA	6	707
chr1	47918820	47918821	rs527430	Response_to_antidepressants-bupropion	Drug_metabolism	N	N	N	NA	6.39794	1439
chr1	50937847	50937848	rs3827730	Depression_and_alcohol_dependence	Neurological_behavioral	N	N	Y	Y	5.39794	874
chr1	51546139	51546140	rs17391905	QRS_duration	Cardiovascular	Y	N	N	NA	9.52288	40407
chr1	51859241	51859242	rs6673480	IgE_grass_sensitization	Autoimmune_disease	N	N	N	NA	5.69897	12347
chr1	53629584	53629585	rs6695567	Systemic_lupus_erythematosus	Autoimmune_disease	N	N	N	NA	5.39794	6530
chr1	53871084	53871085	rs114216682	COPD	Kidney_lung_liver	N	N	Y	Y	7.1549	3441
chr1	53978118	53978119	rs6588480	Response_to_statin_therapy-chol_sum	Drug_metabolism	N	N	Y	Y	5.09691	3928
chr1	55496038	55496039	rs11206510	Coronary_heart_disease	Cardiovascular	Y	N	N	NA	7.04576	86995
chr1	55496038	55496039	rs11206510	LDL_cholesterol	Serum_metabolites	Y	Y	N	NA	10.3979	8589
chr1	55496038	55496039	rs11206510	Myocardial_infarction	Cardiovascular	Y	N	N	NA	8	6042
chr1	55742836	55742837	rs12239436	HDL_cholesterol	Serum_metabolites	Y	N	Y	Y	5.30103	8090
chr1	56850685	56850686	rs11206801	Alzheimers-AB1-42	Aging	N	N	N	NA	7.22185	818
chr1	56962820	56962821	rs17114036	Coronary_heart_disease	Cardiovascular	Y	N	Y	Y	18.3979	86995
chr1	56966349	56966350	rs17114046	Coronary_heart_disease	Cardiovascular	Y	Y	Y	Y	6.52288	30482
chr1	57805549	57805550	rs10159302	HIV_progression	Viral_disease	N	N	Y	Y	5.04576	2362
chr1	58757914	58757915	rs527409	Kawasaki_disease	Autoimmune_disease	Y	Y	Y	N	6	786
chr1	59162147	59162148	rs2811893	Diabetic_retinopathy	Diabetes	N	N	N	NA	6.52288	853
chr1	59325625	59325626	rs4601609	Cognitive_performance-PRM	Neurological_behavioral	N	N	Y	Y	5.30103	1295
chr1	59799160	59799161	rs17119280	Response_to_antipsychotic_therapy_extrapyramidal_side_effects	Drug_metabolism	N	N	Y	Y	5.1549	738
chr1	60084515	60084516	rs12727131	Neutrophil_count	Hematological_parameters	N	N	Y	Y	5.52288	115
chr1	61059258	61059259	rs2989476	Bipolar_disorder	Neurological_behavioral	Y	N	N	NA	5.69897	4806
chr1	61095557	61095558	rs472913	Bipolar_disorder	Neurological_behavioral	N	N	N	NA	6.69897	18190
chr1	61205468	61205469	rs1514178	Serum_polyunsaturated_fatty_acids	Serum_metabolites	N	N	Y	Y	6.69897	8866
chr1	61791862	61791863	rs6691768	Celiac_disease	Autoimmune_disease	Y	N	N	NA	7	15283
chr1	61873676	61873677	rs9436640	QRS_duration	Cardiovascular	Y	N	N	NA	17.301	40407
chr1	62931631	62931632	rs1167998	Triglycerides	Serum_metabolites	N	N	N	NA	11.699	17815
chr1	62996837	62996838	rs1168013	Triglycerides	Serum_metabolites	Y	N	Y	Y	7.22185	17243
chr1	63049592	63049593	rs1748195	Triglycerides	Serum_metabolites	Y	N	Y	Y	9.69897	8684
chr1	63118195	63118196	rs10889353	Cholesterol	Serum_metabolites	N	N	Y	Y	11.3979	22562
chr1	63118195	63118196	rs10889353	LDL_cholesterol	Serum_metabolites	N	N	Y	Y	5.09691	17797
chr1	63118195	63118196	rs10889353	Triglycerides	Serum_metabolites	Y	N	Y	Y	6.52288	19840
chr1	63191776	63191777	rs12130333	Triglycerides	Serum_metabolites	Y	N	Y	Y	7.69897	2758
chr1	63480729	63480730	rs17124318	BMI	Quantitative_traits	N	N	N	NA	6.22185	1792
chr1	63480729	63480730	rs17124318	Weight	Quantitative_traits	N	N	N	NA	5.39794	1792
chr1	63586972	63586973	rs7526034	Brain_imaging	Neurological_behavioral	N	N	N	NA	NA	175
chr1	63591128	63591129	rs10493340	Systolic_blood_pressure	Cardiovascular	N	N	Y	Y	5.69897	1327
chr1	64108770	64108771	rs2269241	Type_1_diabetes	Diabetes	Y	N	Y	Y	6.39794	16559
chr1	64127467	64127468	rs2749097	Transferrin_glycosylation	Serum_metabolites	Y	N	Y	Y	8.69897	5181
chr1	64868351	64868352	rs11208446	Bilirubin	Serum_metabolites	N	N	Y	N	5.04576	619
chr1	65992624	65992625	rs1751492	Soluble_leptin_receptor_levels	Serum_metabolites	Y	N	Y	Y	12.2218	1504
chr1	66089781	66089782	rs6700896	C-reactive_protein	Serum_metabolites	Y	N	Y	Y	13.5229	17967
chr1	66105943	66105944	rs1892534	C-reactive_protein	Serum_metabolites	N	N	N	NA	20.1549	6345
chr1	66161460	66161461	rs4420065	C-reactive_protein	Serum_metabolites	Y	N	N	NA	61.3979	66185
chr1	66169678	66169679	rs12753193	C-reactive_protein	Serum_metabolites	N	N	Y	Y	6.39794	4763
chr1	66310864	66310865	rs10493389	Echocardiographic_traits-LAD	Cardiovascular	N	N	Y	Y	5.1549	1238
chr1	67597118	67597119	rs3762318	Leprosy	Parasitic_bacterial_disease	Y	N	N	NA	10.5229	6287
chr1	67675515	67675516	rs11805303	Crohns_disease	Autoimmune_disease	Y	N	Y	Y	11.2218	4686
chr1	67681668	67681669	rs7517847	Crohns_disease	Autoimmune_disease	Y	N	N	NA	11.5229	1923
chr1	67681668	67681669	rs7517847	Inflammatory_bowel_disease	Autoimmune_disease	Y	N	N	NA	12.3979	1095
chr1	67694201	67694202	rs2201841	Psoriasis	Autoimmune_disease	Y	N	N	NA	7.52288	2759
chr1	67694201	67694202	rs2201841	Ulcerative_colitis	Autoimmune_disease	Y	N	N	NA	13	9484
chr1	67702525	67702526	rs11465804	Crohns_disease	Autoimmune_disease	Y	Y	Y	Y	62.1549	8059
chr1	67725119	67725120	rs10889677	Ulcerative_colitis	Autoimmune_disease	Y	N	N	NA	8	3525
chr1	67753507	67753508	rs1495965	Behcets_disease	Autoimmune_disease	Y	N	N	NA	10.699	1348
chr1	67760139	67760140	rs924080	Behcets_disease	Autoimmune_disease	Y	N	Y	N	8.1549	2493
chr1	67822376	67822377	rs3790567	Primary_biliary_cirrhosis	Autoimmune_disease	Y	Y	Y	Y	11.0969	1398
chr1	68635074	68635075	rs1430742	Bone_mineral_density-spine	Radiographic_parameters	N	N	Y	Y	12.5229	19195
chr1	68635389	68635390	rs2566755	Bone_mineral_density-hip	Radiographic_parameters	N	N	N	NA	11.699	19195
chr1	69579251	69579252	rs4147141	ADHD	Neurological_behavioral	N	N	N	NA	5.22185	2727
chr1	69579251	69579252	rs4147141	ADHD-Inattentive_symptoms	Neurological_behavioral	N	N	N	NA	5.09691	2727
chr1	69684996	69684997	rs4650135	ADHD-Inattentive_symptoms	Neurological_behavioral	N	N	N	NA	5.30103	2727
chr1	70355980	70355981	rs12037173	ADHD	Neurological_behavioral	N	N	N	NA	5.39794	341
chr1	70921172	70921173	rs10458561	Risperidone_influence_on_QT_interval	Drug_metabolism	N	N	Y	Y	6.39794	738
chr1	72071128	72071129	rs10493485	Tissue_plasminogen_activator	Serum_metabolites	N	N	N	NA	5.69897	1000
chr1	72274472	72274473	rs12141391	Systemic_lupus_erythematosus	Autoimmune_disease	Y	N	N	NA	5.1549	4651
chr1	72765115	72765116	rs2568958	BMI	Quantitative_traits	Y	N	N	NA	11	80969
chr1	72765115	72765116	rs2568958	Weight	Quantitative_traits	Y	N	N	NA	7.69897	80969
chr1	72812439	72812440	rs2815752	BMI	Quantitative_traits	Y	Y	N	NA	21.699	123865
chr1	74339166	74339167	rs11210359	Schizophrenia	Neurological_behavioral	N	N	N	NA	5.09691	1535
chr1	74991643	74991644	rs1514175	BMI	Quantitative_traits	Y	N	N	NA	13.0969	123865
chr1	75913825	75913826	rs1857353	Alzheimers-Whole-brain_volume	Aging	N	N	Y	N	5.69897	954
chr1	76106674	76106675	rs211718	C12_C10	Serum_metabolites	Y	N	N	NA	63	1809
chr1	76484013	76484014	rs12753569	Novelty_seeking	Neurological_behavioral	N	N	Y	Y	5.09691	7684
chr1	76772327	76772328	rs10873876	Acute_lymphoblastic_leukemia_childhood	Cancer	N	N	N	NA	5.39794	18275
chr1	79254761	79254762	rs12730292	Bipolar_disorder	Neurological_behavioral	Y	N	N	NA	5.30103	16731
chr1	80134122	80134123	rs7533906	Biplolar_disorder_and_schizophrenia	Neurological_behavioral	N	N	Y	Y	5.39794	4234
chr1	80243000	80243001	rs12024204	Endometriosis	Miscellaneous	Y	N	Y	Y	5.22185	10254
chr1	80734580	80734581	rs11162963	Aging_traits-age_free_from_disease	Aging	N	N	N	NA	5.39794	16995
chr1	82074851	82074852	rs11809789	Bilirubin	Serum_metabolites	N	N	N	NA	5.22185	619
chr1	83311834	83311835	rs11163585	Response_to_antipsychotic_therapy_perphenazine-HDL	Drug_metabolism	N	N	Y	Y	6.04576	738
chr1	84254550	84254551	rs7552393	Tumor_necrosis_factor_alpha	Serum_metabolites	N	N	Y	Y	6.30103	1012
chr1	84254734	84254735	rs7539409	Alzheimers_disease	Aging	N	N	N	NA	6	699
chr1	84761347	84761348	rs1085093	HDL_cholesterol	Serum_metabolites	Y	N	Y	N	5.52288	2554
chr1	84865229	84865230	rs12144715	Response_to_hepatitis_C_treatment	Viral_disease	N	N	N	NA	5.1549	707
chr1	85311191	85311192	rs1983853	Type_1_diabetes	Diabetes	Y	N	Y	Y	5.69897	3158
chr1	85772008	85772009	rs233100	Multiple_sclerosis	Autoimmune_disease	Y	N	Y	Y	6	26621
chr1	87613357	87613358	rs7553864	Smoking_behavior	Neurological_behavioral	N	N	N	NA	5.52288	4611
chr1	87705030	87705031	rs6576878	Plasma_eosinophil_count	Hematological_parameters	Y	N	N	NA	5.22185	8794
chr1	88132379	88132380	rs983332	Response_to_TNF_antagonist_treatment	Drug_metabolism	N	N	N	NA	5.30103	89
chr1	88802011	88802012	rs2179965	Cognitive_performance-F3	Neurological_behavioral	N	N	Y	Y	6	705
chr1	89146233	89146234	rs12145922	Gamma_glutamyl_transferase	Serum_metabolites	N	N	Y	Y	10.3979	61089
chr1	90875887	90875888	rs2136093	Response_to_antidepressants-whole_sample	Drug_metabolism	N	N	N	NA	6.39794	706
chr1	90943906	90943907	rs2390582	Coronary_artery_calcification	Cardiovascular	N	N	N	NA	6	984
chr1	91569688	91569689	rs164898	Waist-hip_ratio	Quantitative_traits	Y	N	Y	Y	5.22185	2554
chr1	92077096	92077097	rs1192415	Optic_disc_parameters	Quantitative_traits	Y	Y	Y	Y	27.5229	7360
chr1	92077096	92077097	rs1192415	Optic_disc_size_disc	Quantitative_traits	N	N	Y	Y	6.52288	2216
chr1	92211019	92211020	rs17131547	Bone_mineral_density-spine	Radiographic_parameters	Y	N	Y	Y	6	1000
chr1	93303602	93303603	rs6604026	Multiple_sclerosis	Autoimmune_disease	Y	Y	Y	N	5.52288	5031
chr1	93401836	93401837	rs12745968	Biplolar_disorder_and_schizophrenia	Neurological_behavioral	N	N	Y	Y	6.09691	4234
chr1	94462768	94462769	rs17110736	Dialysis-related_mortality	Miscellaneous	N	N	N	NA	5.30103	612
chr1	94611299	94611300	rs2774920	Fibrin-D-dimer_levels	Serum_metabolites	N	N	N	NA	6	21052
chr1	95053352	95053353	rs12029080	Fibrin-D-dimer_levels	Serum_metabolites	N	N	Y	Y	51.2218	21052
chr1	95692309	95692310	rs1414896	NAFLDH	Kidney_lung_liver	N	N	Y	N	5.69897	236
chr1	96145967	96145968	rs6693882	Pain	Neurological_behavioral	N	N	N	NA	5.69897	112
chr1	96943993	96943994	rs1973993	Weight	Quantitative_traits	Y	N	Y	Y	6	80969
chr1	96944796	96944797	rs1555543	BMI	Quantitative_traits	Y	N	N	NA	9.39794	123865
chr1	97037082	97037083	rs10783050	BMI	Quantitative_traits	Y	N	N	NA	5.39794	80969
chr1	97164342	97164343	rs7544736	Schizophrenia	Neurological_behavioral	Y	N	Y	Y	6.22185	6909
chr1	97819666	97819667	rs11165846	Platelet_count	Hematological_parameters	N	N	N	NA	5.04576	115
chr1	98502933	98502934	rs1625579	Schizophrenia	Neurological_behavioral	Y	N	N	NA	10.699	21856
chr1	99177252	99177253	rs9727115	Proinsulin_levels	Serum_metabolites	Y	N	N	NA	6.69897	10701
chr1	100049784	100049785	rs7543130	Aortic_root_size	Cardiovascular	Y	N	N	NA	7	12612
chr1	101331535	101331536	rs12048904	Multiple_sclerosis	Autoimmune_disease	Y	N	Y	Y	7.39794	26621
chr1	101407518	101407519	rs11581062	Multiple_sclerosis	Autoimmune_disease	Y	N	Y	Y	9.52288	26621
chr1	101551925	101551926	rs17410015	Response_to_antipsychotic_therapy_perphenazine-triglycerides	Drug_metabolism	N	N	Y	Y	5.69897	738
chr1	101938476	101938477	rs1948368	Bipolar_disorder	Neurological_behavioral	N	N	N	NA	5.22185	10596
chr1	103133908	103133909	rs10874639	Fibrinogen	Serum_metabolites	N	N	N	NA	5.52288	1200
chr1	107432575	107432576	rs12726652	Working_memory	Neurological_behavioral	N	N	Y	Y	6.30103	738
chr1	107577831	107577832	rs4118325	HIV_progression	Viral_disease	N	N	N	NA	6.22185	2134
chr1	107830857	107830858	rs10494067	Anorexia_nervosa	Neurological_behavioral	N	N	N	NA	5.22185	4806
chr1	109817191	109817192	rs7528419	Lipoprotein-associated_phospholipase_A2_activity_and_mass	Serum_metabolites	N	N	Y	Y	17	13664
chr1	109817589	109817590	rs12740374	LDL_cholesterol	Serum_metabolites	Y	Y	Y	Y	41.699	19840
chr1	109817837	109817838	rs660240	Cardiovascular_disease_risk_factors	Cardiovascular	N	N	Y	Y	21.699	11683
chr1	109817837	109817838	rs660240	LDL_cholesterol	Serum_metabolites	Y	N	Y	Y	26	17243
chr1	109818305	109818306	rs629301	LDL_cholesterol	Serum_metabolites	Y	N	Y	Y	170	100184
chr1	109818529	109818530	rs646776	Cholesterol	Serum_metabolites	N	N	Y	Y	21.0458	22562
chr1	109818529	109818530	rs646776	Coronary_heart_disease	Cardiovascular	Y	N	Y	Y	9.22185	30482
chr1	109818529	109818530	rs646776	LDL_cholesterol	Serum_metabolites	Y	Y	Y	Y	28.5229	2758
chr1	109818529	109818530	rs646776	Myocardial_infarction	Cardiovascular	Y	N	Y	Y	11.0969	6042
chr1	109818529	109818530	rs646776	Progranulin	Serum_metabolites	Y	N	Y	Y	29.699	533
chr1	109818529	109818530	rs646776	Response_to_statin_therapy-chol_sum	Drug_metabolism	N	N	Y	Y	5.39794	3928
chr1	109822165	109822166	rs599839	Coronary_heart_disease	Cardiovascular	Y	Y	N	NA	8.39794	4864
chr1	109822165	109822166	rs599839	LDL_cholesterol	Serum_metabolites	Y	Y	N	NA	33	11685
chr1	109822165	109822166	rs599839	Lipoprotein-associated_phospholipase_A2_activity_and_mass	Serum_metabolites	N	N	N	NA	14.5229	6668
chr1	109999837	109999838	rs1933182	Creatinine	Serum_metabolites	Y	N	N	NA	7	67093
chr1	110031187	110031188	rs12049330	Major_depressive_disorder	Neurological_behavioral	N	N	Y	Y	5.22185	2656
chr1	110119731	110119732	rs6537837	Major_depressive_disorder	Neurological_behavioral	N	N	N	NA	6	2656
chr1	110352476	110352477	rs10494112	Pagets_disease	Aging	Y	N	N	NA	34.1549	3440
chr1	110366082	110366083	rs484959	Pagets_disease	Aging	Y	N	Y	Y	23.301	1693
chr1	110770222	110770223	rs958798	Self-rated_health	Miscellaneous	N	N	N	NA	6.39794	9291
chr1	111237684	111237685	rs12061304	Panic_disorder	Neurological_behavioral	N	N	N	NA	6	400
chr1	111417914	111417915	rs2885805	Cytomegalovirus_antibody_response	Viral_disease	N	N	Y	Y	5.30103	2133
chr1	111684275	111684276	rs1335645	Gamma_glutamyl_transferase	Serum_metabolites	N	N	Y	Y	8.1549	61089
chr1	112192121	112192122	rs494453	Osteoporosis	Aging	Y	N	Y	Y	7.39794	3569
chr1	112856569	112856570	rs7555668	Symbol_Search	Neurological_behavioral	N	N	N	NA	5.52288	1086
chr1	113190806	113190807	rs17030613	Diastolic_blood_pressure	Cardiovascular	Y	N	N	NA	8	19608
chr1	113190806	113190807	rs17030613	Systolic_blood_pressure	Cardiovascular	Y	N	N	NA	5.09691	19608
chr1	113216542	113216543	rs2932538	Blood_pressure	Cardiovascular	Y	Y	Y	Y	5.09691	74064
chr1	113216542	113216543	rs2932538	Diastolic_blood_pressure	Cardiovascular	Y	N	Y	Y	9	69395
chr1	113216542	113216543	rs2932538	Systolic_blood_pressure	Cardiovascular	Y	N	Y	Y	9	69395
chr1	113313562	113313563	rs11590090	ADHD-Hyperactive-impulsive_symptoms	Neurological_behavioral	N	N	N	NA	5.52288	2727
chr1	114303807	114303808	rs6679677	Rheumatoid_arthritis	Autoimmune_disease	Y	Y	Y	Y	41.2218	15853
chr1	114303807	114303808	rs6679677	Type_1_diabetes	Diabetes	Y	Y	Y	Y	40	8207
chr1	114715583	114715584	rs2774292	Biplolar_disorder_and_schizophrenia	Neurological_behavioral	N	N	N	NA	5.52288	4234
chr1	115734090	115734091	rs195204	Alcohol_consumption	Neurological_behavioral	Y	N	Y	Y	5.04576	8754
chr1	117038286	117038287	rs12025416	Multiple_sclerosis	Autoimmune_disease	Y	N	Y	Y	7	8844
chr1	117100956	117100957	rs1335532	Multiple_sclerosis	Autoimmune_disease	Y	N	Y	N	7	5031
chr1	117104214	117104215	rs2300747	Multiple_sclerosis	Autoimmune_disease	Y	N	N	NA	9.52288	9844
chr1	117469780	117469781	rs2806864	Erectile_dysfunction_and_prostate_cancer_treatment	Miscellaneous	N	N	Y	Y	6.22185	79
chr1	117751364	117751365	rs12046117	Juvenile_idiopathic_arthritis	Autoimmune_disease	Y	N	N	NA	6	463
chr1	118868404	118868405	rs17038182	Height	Quantitative_traits	Y	N	Y	Y	6.30103	8842
